Pais,Codigo ISO pais,Departamento/Estado,Ciudad_Migrada,Oficina de registro,Grupo edad,Edades,Area Conocimiento,Sub Area Conocimiento,Nivel Academico,Estado civil,Genero,Etnia de la persona,Estatura CM,Pais de Nacimiento,Departamento/Estado.1,Ciudad_Origen,x inicial,y inicial,Fecha de Registro,Cantidad de personas,concat,COMPARATIVO,Coordenada X,Coordenada Y,Mes_Año,Año
ESTADOS UNIDOS,USA,MASSACHUSETTS,EVERETT,C. BOSTON,ADULTO JOVEN,25,NINGUNA,NINGUNA,NINGUNO,UNION_LIBRE,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-09-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,09-2023,2023
ESTADOS UNIDOS,USA,MASSACHUSETTS,REVERE,C. BOSTON,ADULTO MAYOR,63,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",CONTADURIA PUBLICA,NO INDICA,VIUDO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2021-08-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,08-2021,2021
ESTADOS UNIDOS,USA,FLORIDA,SANFORD,C. ORLANDO,ADULTO,40,CIENCIAS SOCIALES Y HUMANAS,PSICOLOGIA Y AFINES,PREGRADO - PROFESIONAL,DESCONOCIDO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2024-02-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,02-2024,2024
ESTADOS UNIDOS,USA,WISCONSIN,STRATFORD,C. CHICAGO,ADULTO MAYOR,61,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2022-07-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,07-2022,2022
ESTADOS UNIDOS,USA,CALIFORNIA,FREMONT,C. SAN FRANCISCO,ADULTO,29,CIENCIAS SOCIALES Y HUMANAS,PSICOLOGIA Y AFINES,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,QUINDIO,ARMENIA QUINDIO,3.709.024,-95.712.891,2022-09-01,1,COLOMBIAQUINDIOARMENIA QUINDIO,COLOMBIA,4.510816,-75.7079177,09-2022,2022
ESTADOS UNIDOS,USA,NEW YORK,BROOKLYN,C. NUEVA YORK,ADULTO JOVEN,24,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2021-12-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,12-2021,2021
AUSTRALIA,AUS,VICTORIA,MELBOURNE,C. CANBERRA,ADULTO,33,CIENCIAS SOCIALES Y HUMANAS,"PERIODISMO, COMUNICACIONSOCIAL Y AFINES",NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,-25.274.398,133.775.136,2022-08-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,08-2022,2022
ESTADOS UNIDOS,USA,DISTRICT OF COLUMBIA,WASHINGTON,C. WASHINGTON,ADULTO,29,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2024-01-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,01-2024,2024
ESTADOS UNIDOS,USA,NEW MEXICO,GRANTS,C. LOS ANGELES,ADULTO MAYOR,60,CIENCIAS DE LA SALUD,TERAPIAS,POSTGRADO - MAESTRIA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-06-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,06-2023,2023
ESTADOS UNIDOS,USA,ILLINOIS,CHICAGO,C. CHICAGO,ADULTO,37,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-12-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,12-2023,2023
